Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2017-06-01,147.2189,67.0227,75.5363,50.8297,143.4127,103.6241
2017-06-02,149.4006,68.6098,75.3565,51.4906,144.6832,102.6377
2017-06-05,147.9397,69.107,75.9623,51.5198,143.7891,102.0057
2017-06-06,148.4395,69.3364,74.7035,51.0047,142.321,101.0289
2017-06-07,149.3237,69.2121,74.9117,51.7336,142.9892,101.4311
2017-06-08,148.9585,68.7915,74.7035,51.7045,142.5093,99.8989
2017-06-09,143.1823,67.233,75.1672,51.9571,142.5563,101.1438
2017-06-12,139.7609,66.7167,74.9969,52.5111,139.7236,102.5037
2017-06-13,140.8854,67.5485,75.2619,52.7832,140.9941,102.044
2017-06-14,139.511,67.1852,75.6215,53.1234,141.8035,101.6418
2017-06-15,138.6748,66.8315,74.6845,51.4129,142.2646,101.4886
2017-06-16,136.7335,66.9271,71.2111,49.6635,143.0363,101.0385
2017-06-19,140.6451,67.7589,71.4571,50.5576,144.1185,100.9044
2017-06-20,139.3669,66.841,71.495,50.1106,144.9937,99.535
2017-06-21,140.1934,67.1852,72.1575,51.1116,144.6738,100.3586
2017-06-22,139.9628,67.1756,71.4761,50.9269,145.6807,99.8032
2017-06-23,140.5874,68.0839,70.8325,51.3643,145.5302,99.9372
2017-06-26,140.1453,67.4338,71.4571,51.7822,144.8902,101.096
2017-06-27,138.1366,66.1717,71.9398,51.4615,144.6644,100.9428
2017-06-28,140.155,66.7358,72.4131,51.8599,145.2102,102.3313
2017-06-29,138.0886,65.4834,71.8641,51.6753,144.1091,101.23
2017-06-30,138.4154,65.904,71.6275,57.3414,144.1373,101.7472
2017-07-03,137.9156,65.1774,71.3247,57.0012,143.5163,102.9059
2017-07-05,138.4827,66.0474,71.2868,55.9419,144.0527,101.1534
2017-07-06,137.1756,65.5598,71.4288,55.5531,144.0715,99.7063
2017-07-07,138.5692,66.4108,71.2962,56.3501,147.0641,99.6774
2017-07-10,139.4149,66.9079,69.3087,57.079,146.3583,99.9379
2017-07-11,139.8666,66.9175,69.5359,56.5445,145.7843,100.179
2017-07-12,140.0684,68.0266,69.9807,56.5833,147.3559,100.7
2017-07-13,142.0195,68.6194,71.0312,56.3112,145.9066,100.6132
2017-07-14,143.24,69.585,72.2522,56.3695,146.1325,101.385
2017-07-17,143.7398,70.13,72.2806,56.1654,146.1136,101.0955
2017-07-18,144.2395,70.0822,72.1196,56.0294,144.8902,102.0217
2017-07-19,145.143,70.6176,71.8073,56.146,144.8243,103.054
2017-07-20,144.4894,70.9618,71.9493,57.4386,145.1255,103.5749
2017-07-21,144.4221,70.5507,72.0723,58.2647,144.8526,103.3144
2017-07-24,146.1713,70.369,72.7727,57.2928,142.9045,103.2276
2017-07-25,146.796,70.9331,74.3154,57.7204,149.6992,102.6681
2017-07-26,147.488,70.7993,74.6751,56.7194,147.29,103.1697
2017-07-27,144.7009,69.9483,75.508,56.5153,147.7041,106.1219
2017-07-28,143.6821,69.8336,75.5363,57.0207,146.6689,106.0833
2017-07-31,142.9421,69.5085,75.7067,57.39,146.0007,106.0543
2017-08-01,144.2107,69.3938,76.1894,58.1578,144.9655,106.7104
2017-08-02,151.0248,69.0879,76.2178,58.1092,147.3653,104.8387
2017-08-03,149.5159,68.9827,76.5396,58.4494,145.6055,105.2729
2017-08-04,150.304,69.4894,76.1705,58.08,144.7585,103.8933
2017-08-07,152.6298,69.2217,76.9276,58.1092,145.8407,102.6005
2017-08-08,153.8504,69.5946,77.221,57.7885,145.7937,103.2083
